	P9	P11	P12	P15	P19	P21	P22	P24	P30	P1	P27	P3	P4	P7
HLA.DPA1	22.51404959	23.84395329	24.42244384	23.25972266	21.32276107	22.10014563	19.65317167	14.52504012	24.54049013	25.12430161	22.22754312	25.43325022	25.32491289	18.17083581
LMNA	22.26313574	23.12584661	22.73627371	19.77902086	21.50721103	20.94621032	22.3169338	22.52308804	21.77057779	21.59563805	20.7441474	21.12434751	21.03834168	23.43376728
PTEN	20.93293721	20.31183861	19.82409479	21.63334691	21.1159928	21.60032875	22.46518045	21.32145418	21.48602093	21.34472817	21.44988949	22.2071054	21.94453863	19.59939675
MIF	22.95798557	22.01007435	22.54145754	21.58770013	20.89966143	21.51733524	23.67611308	21.88833252	23.00245048	22.39234249	21.33489893	20.78799282	20.67491402	23.34021174
LCN2	24.45514921	18.89139697	15.65294665	20.78826587	21.86619271	21.27045017	21.85700787	25.40505036	22.2755892	22.62482269	21.30830292	20.76817328	20.08402033	17.19046462
IKZF2	19.65282929	18.02343803	17.68021958	17.885342	16.99255806	17.35029941	19.71532464	18.28812477	18.15393807	17.06035071	17.40939982	18.66320372	19.51332869	17.30293935
TNFSF9	15.71356269	16.66455522	17.59966322	13.06605405	16.37205144	14.96296884	15.67399682	15.53884592	13.98255654	14.38848015	14.80035811	16.40476855	16.42183034	17.70893171
CD209	17.28481777	20.57326428	18.73065932	18.40880061	18.12948114	18.38582585	18.36664008	18.20397877	17.81037556	17.99217921	18.30803587	19.07562147	19.04393198	19.91764919
CD276	17.20700654	18.59362965	19.41393951	15.47267931	17.10311643	17.34228442	18.06237066	17.89068959	17.22078755	17.79820385	16.63936005	16.94220268	16.98370923	18.75579831
MAGEA3	8.57401134	8.133173757	15.31996336	9.224751792	18.033466	17.22948382	8.379376073	13.731491	8.201196826	14.92550817	14.82923387	9.234843547	9.222157994	17.06847409
CCL18	19.61567049	21.97218066	16.84352532	18.23970213	19.46239794	16.05411673	20.22054726	21.95065952	19.95691898	20.02097647	17.91873893	17.81980605	17.99364746	17.35605068
NTN3	15.59637915	12.45510185	14.76927077	12.54667989	12.56469652	15.45435723	10.37937607	13.46845659	14.43001552	15.0379829	13.52191121	9.234843547	12.92259771	16.26641347
BRCA1	19.24378223	18.11901569	16.82409479	18.38209873	19.03965784	20.14734114	17.10388993	18.24245291	18.76152966	18.92672615	19.18969924	16.97631053	17.52136601	18.55086686
ABCF1	20.83816068	21.13334986	21.41677986	19.90041485	20.53185415	21.80135066	21.56068365	21.04073996	20.74543683	21.53822727	20.74453989	20.63305281	20.48952993	21.454717
IFNB1	14.84079788	15.59260538	15.98584586	9.639789292	17.50553445	17.25104917	16.60337775	11.8246004	12.59351425	13.7160548	14.79879097	16.343368	12.22215799	19.78514227
ITGB1	22.86208435	23.77632533	24.42991955	22.6629372	22.56503193	23.59638531	25.30428134	24.59668296	23.19912605	23.27309961	22.94145148	23.29672098	23.34045023	23.65432033
TNFSF14	15.90492822	16.13317376	13.82897701	9.224751792	11.49430719	14.17637248	14.99408592	15.34816236	14.69304992	15.5740358	11.63181049	11.55677164	14.50756021	10.98101125
ARG1	13.66147418	8.133173757	8.619523646	10.80971429	11.7573416	15.19429439	14.96433857	12.9945254	9.201196826	10.7160548	12.58711676	9.234843547	9.222157994	20.06049604
POLR2A	15.14386695	14.84741927	15.53838688	17.11146451	17.57539112	15.12123093	14.50865909	15.11000262	15.07156155	15.92550817	16.60269552	17.343368	17.92606157	14.44044287
CDK1	22.97609074	20.89056377	18.70698649	21.74168291	20.91426737	22.38155481	20.44277115	21.544417	22.42979008	21.25739346	21.67916836	20.65638245	20.61340158	20.1484294
ENTPD1	20.41675452	19.64393793	21.4379061	18.83269851	19.67769445	20.09284912	19.78929731	20.01133369	20.24559095	19.31875367	19.53441403	20.04942601	20.55251471	19.79799487
PVR	20.8228284	20.70065456	21.27012667	18.5201381	19.93642131	21.48106604	21.66795381	21.50165932	19.36106816	19.64974546	19.97920848	20.66320372	20.35015231	22.21941599
ZBTB46	15.73388268	16.16107975	17.37441115	14.03210671	16.29132017	15.60933189	16.21857986	16.51110093	15.42036535	15.19178824	15.31091959	15.1174866	16.57971	16.70893171
TUBB	21.6426217	22.07550498	21.97335967	21.70705557	21.35926711	21.87125267	23.0250345	21.26105169	21.80956717	22.53792842	21.64585845	21.46516426	21.53872238	22.37708081
MMP2	22.03740799	24.63027711	24.70289909	20.08221448	22.2122406	20.29738788	22.01373337	23.57022221	23.54222911	23.10137798	20.86394765	21.35993409	21.38769314	21.55938394
TNFSF18	18.13816083	14.2206366	18.84713959	16.04493075	13.7573416	15.7248091	16.31601401	15.23399134	18.81498629	17.38139072	15.17569382	17.29012598	16.24452581	11.98101125
CDKN2A	13.85941356	17.79316965	15.37441115	19.55305272	17.29908357	18.60766113	20.44108478	13.52504012	20.99622181	19.72378292	18.48659914	18.22919698	17.58410177	15.73589875
SSX2	8.57401134	8.133173757	8.619523646	8.639789292	16.05502215	8.854444385	8.379376073	8.8246004	8.201196826	9.716054805	11.18308528	9.234843547	9.222157994	10.98101125
HLA.DRB1	23.09696061	24.71141376	23.98506009	23.70016859	22.61214506	23.48993579	25.19276899	24.47186206	25.16618064	23.93707543	23.26741648	25.81514629	25.76522003	19.1855824
MAGEA10	8.57401134	8.133173757	18.40905729	11.22475179	19.54524416	18.37408064	8.379376073	15.49702574	8.201196826	11.0379829	16.38135886	9.234843547	9.222157994	21.61309766
MYC	20.71803221	19.89430941	19.22222251	19.94242822	18.63896543	19.08326308	19.82852472	19.74420864	21.64517637	18.58024095	19.22155224	18.59239555	19.19943792	20.8249323
PTK7	20.87207391	21.59439738	21.58873027	20.01156594	20.98996239	22.32979784	22.04537811	21.78568829	21.81510137	21.59410572	21.11044206	20.76914643	20.53900518	20.99223851
SDHA	22.00354885	21.01944191	20.90319081	21.30545831	20.7112955	21.03497519	22.07090151	22.13663246	21.26155501	20.73112134	21.017243	21.17809094	21.13803737	21.15343876
CTAG2	8.57401134	8.133173757	16.02040308	9.224751792	19.32972603	8.854444385	10.37937607	8.8246004	8.201196826	19.61238721	12.46964074	9.234843547	9.222157994	10.98101125
KREMEN1	19.65282929	15.88806126	17.02040308	19.45316968	19.55770227	15.24676181	17.52148313	17.26339225	18.83146395	19.43544363	18.08587792	18.06139203	17.62729946	15.44044287
NECTIN2	16.48690068	16.83014128	18.06246714	15.44714421	17.87628267	16.52686973	18.87622985	17.42079016	16.58921411	16.33810662	16.61676554	17.51561432	17.58848021	18.4486168
GADD45GIP1	21.83036748	22.05946975	22.68072605	19.81284175	20.46757405	20.7267345	21.49067479	20.86865293	21.26442336	21.46822635	20.33571677	20.857353	20.89059982	21.9725331
